SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBEß,MMR1
6026041,MONTEREY,PUBLIC,CARMEL UNIFIED,CARMEL,CARMEL RIVER ELEMENTARY,71,0,7,56
6026074,MONTEREY,PUBLIC,CARMEL UNIFIED,CARMEL VALLEY,TULARCITOS ELEMENTARY,76,0,10,64
6026082,MONTEREY,PUBLIC,CHUALAR UNION,CHUALAR,CHUALAR ELEMENTARY,41,0,0,39
6066955,MONTEREY,PUBLIC,GONZALES UNIFIED,GONZALES,LA GLORIA ELEMENTARY,188,0,0,175
6111637,MONTEREY,PUBLIC,GREENFIELD UNION ELEMENTARY,GREENFIELD,CESAR CHAVEZ ELEMENTARY,121,0,1,119
6026116,MONTEREY,PUBLIC,GREENFIELD UNION ELEMENTARY,GREENFIELD,MARY CHAPA LITERACY AND TECHNOLOGY ACADEMY,135,0,0,135
6089387,MONTEREY,PUBLIC,GREENFIELD UNION ELEMENTARY,GREENFIELD,OAK AVENUE ELEMENTARY,127,0,2,125
6106777,MONTEREY,PUBLIC,KING CITY UNION,KING CITY,DEL REY ELEMENTARY,183,0,1,182
107292,MONTEREY,PUBLIC,KING CITY UNION,KING CITY,KING CITY ARTS MAGNET,82,1,0,81
6026132,MONTEREY,PUBLIC,KING CITY UNION,KING CITY,SANTA LUCIA ELEMENTARY,109,0,0,108
6026140,MONTEREY,PUBLIC,LAGUNITA ELEMENTARY,SALINAS,LAGUNITA ELEMENTARY,12,0,0,12
6026157,MONTEREY,PUBLIC,MISSION UNION ELEMENTARY,SOLEDAD,MISSION ELEMENTARY,10,0,0,10
124297,MONTEREY,PUBLIC,MONTEREY COUNTY OFFICE OF EDUCATION,MONTEREY,BAY VIEW ACADEMY,48,0,1,39
112177,MONTEREY,PUBLIC,MONTEREY COUNTY OFFICE OF EDUCATION,PACIFIC GROVE,MONTEREY BAY CHARTER,65,0,18,25
2730232,MONTEREY,PUBLIC,MONTEREY COUNTY OFFICE OF EDUCATION,SALINAS,MONTEREY COUNTY HOME CHARTER,20,0,6,14
6069512,MONTEREY,PUBLIC,MONTEREY COUNTY OFFICE OF EDUCATION,SALINAS,MONTEREY COUNTY SPECIAL EDUCATION,40,1,0,39
